Symbol,Sector,Shares Outstanding,Market Price,Percent Change,Last Trade On,52 Week Low/High,180 Day Average,120 Day Average,One Year Yield,EPS,P/E Ratio,Book Value,P/B Ratio,Dividend,180Change,Technical Quality,Fundamental Health,Final Rating
NABBC,Development Bank Limited,"5,249,352.00","1,575.00",2.28 %,2026/03/12 02:59:59,"2,060.00-662.00","1,141.87","1,281.07",-17.45%,"-18.04                                                                    (FY:082-083, Q:2)",-87.31,33.05,47.66,,0,0,0,0.0000
NICL,Non-Life Insurance,"25,485,750.10",520.10,0.74 %,2026/03/12 02:59:51,"1,005.00-483.00",513.26,509.35,-47.68%,"0.39                                                                    (FY:082-083, Q:2)","1,333.59",170.11,3.06,6.32                                                                    (FY:081-082),1.33,0,0,0.0000
RBCL,Non-Life Insurance,"2,666,390.60","15,337.00",-1.05 %,2026/03/12 02:57:17,"16,900.00-14,251.00","14,954.26","14,971.36",3.21%,"132.96                                                                    (FY:082-083, Q:2)",115.35,"6,461.26",2.37,6.00                                                                    (FY:062-063),0,0,0,0.0000
NLICL,Life Insurance,"56,916,493.30",612.00,-0.33 %,2026/03/12 02:59:11,691.00-539.00,596.73,597.33,-4.81%,"10.08                                                                    (FY:082-083, Q:2)",60.71,127.64,4.79,8.50                                                                    (FY:081-082),2.56,0.5197,0.0549,0.2873
HEI,Non-Life Insurance,"25,001,574.00",534.10,0.56 %,2026/03/12 02:59:59,654.00-458.00,503.93,506.11,-16.15%,"1.26                                                                    (FY:082-083, Q:2)",423.89,209.67,2.55,8.00                                                                    (FY:081-082),5.99,0.6117,0.0803,0.3460
UAIL,Non-Life Insurance,"25,410,000.00",467.40,-0.13 %,2026/03/12 02:59:54,673.00-422.10,459.11,458.99,-30.13%,"-8.39                                                                    (FY:082-083, Q:2)",-55.71,165.19,2.83,,1.81,0.8194,0.0563,0.4379
SPIL,Non-Life Insurance,"28,065,499.00",731.00,0.11 %,2026/03/12 02:59:28,894.50-625.00,706.57,713.30,-14.70%,"-12.72                                                                    (FY:082-083, Q:2)",-57.47,241.34,3.03,25.00                                                                    (FY:081-082),3.46,0.6067,0.0521,0.3294
NIL,Non-Life Insurance,"27,722,783.00",659.00,1.07 %,2026/03/12 02:59:20,789.00-562.00,612.39,618.85,-14.97%,"0.78                                                                    (FY:082-083, Q:2)",844.87,229.46,2.87,12.79                                                                    (FY:081-082),7.61,0.5727,0.0706,0.3216
PRIN,Non-Life Insurance,"17,009,559.20",765.90,-0.01 %,2026/03/12 02:59:54,"1,081.70-630.00",689.74,697.51,-28.29%,"14.40                                                                    (FY:082-083, Q:2)",53.19,203.11,3.77,0.47                                                                    (FY:081-082),11.04,0,0.0681,0.0340
SALICO,Non-Life Insurance,"26,226,382.00",614.50,-0.57 %,2026/03/12 02:59:52,765.90-570.10,600.43,600.67,-15.71%,"2.85                                                                    (FY:082-083, Q:2)",215.61,227.43,2.70,15.00                                                                    (FY:081-082),2.34,0.7732,0.0778,0.4255
IGI,Non-Life Insurance,"30,293,346.39",455.10,-1.07 %,2026/03/12 02:59:42,620.00-392.00,425.03,425.09,-25.15%,"-11.96                                                                    (FY:082-083, Q:2)",-38.05,176.25,2.58,5.00                                                                    (FY:081-082),7.07,0.7232,0.0565,0.3898
