Symbol,Sector,Shares Outstanding,Market Price,Percent Change,Last Trade On,52 Week Low/High,180 Day Average,120 Day Average,One Year Yield,EPS,P/E Ratio,Book Value,P/B Ratio,Dividend,180Change,Technical Quality,Fundamental Health,Final Rating
VLBS,Microfinance,"7,450,403.59",777.00,-0.77 %,2026/03/12 02:59:28,"1,008.00-737.00",774.99,771.73,-9.56%,"-0.45                                                                    (FY:082-083, Q:2)","-1,726.67",165.41,4.70,,0.26,0,0,0.0000
HLBSL,Microfinance,"3,410,860.36",950.00,0.64 %,2026/03/12 02:59:08,"1,100.00-837.00",917.80,917.51,-5.00%,"26.24                                                                    (FY:082-083, Q:2)",36.20,167.35,5.68,0.35                                                                    (FY:081-082),3.51,0,0.0573,0.0286
MATRI,Microfinance,"6,283,573.37",977.90,-1.22 %,2026/03/12 02:59:48,"1,347.00-904.00",977.76,975.71,-24.72%,"11.25                                                                    (FY:082-083, Q:2)",86.92,119.90,8.16,,0.01,0,0.0337,0.0169
JSLBB,Microfinance,"1,700,919.00","1,177.00",0.6 %,2026/03/12 02:59:56,"1,600.00-1,059.00","1,172.48","1,171.68",-25.06%,"11.80                                                                    (FY:082-083, Q:2)",99.75,170.87,6.89,,0,0,0,0.0000
API,Hydro Power,"63,797,242.00",336.30,-1.09 %,2026/03/12 02:59:59,355.00-258.80,290.99,294.68,18.83%,"13.36                                                                    (FY:082-083, Q:2)",25.17,116.75,2.88,0.26                                                                    (FY:081-082),15.57,0.1944,0.1012,0.1478
NMBMF,Microfinance,"7,214,491.49",696.00,0.87 %,2026/03/12 02:54:11,835.00-596.00,679.04,684.43,-6.84%,"9.67                                                                    (FY:082-083, Q:2)",71.98,140.61,4.95,,2.50,0.5816,0.0515,0.3165
GILB,Microfinance,"6,482,977.97","1,200.00",0.51 %,2026/03/12 02:59:54,"1,441.60-1,100.00","1,196.15","1,194.70",-6.40%,"32.67                                                                    (FY:082-083, Q:2)",36.73,197.29,6.08,0.25                                                                    (FY:081-082),0,0,0,0.0000
SWMF,Microfinance,"11,062,862.96",688.00,-1.15 %,2026/03/12 02:59:58,868.10-641.10,682.90,683.36,-10.65%,"21.18                                                                    (FY:082-083, Q:2)",32.48,146.33,4.70,,0.75,0.7934,0.0672,0.4303
MERO,Microfinance,"14,864,025.00",741.00,-0.67 %,2026/03/12 02:59:36,"1,000.00-668.00",755.36,745.60,-2.24%,"13.26                                                                    (FY:082-083, Q:2)",55.88,153.25,4.84,0.25                                                                    (FY:081-082),-1.90,0,0.0556,0.0278
HIDCL,Investment,"249,282,110.00",298.50,3.61 %,2026/03/12 02:59:57,340.00-245.00,265.73,265.56,7.65%,"3.23                                                                    (FY:082-083, Q:2)",92.41,112.02,2.66,2.00                                                                    (FY:081-082),12.33,0.4368,0.0838,0.2603
NGPL,Hydro Power,"38,784,300.00",460.00,0 %,2026/03/12 02:59:58,479.20-254.80,399.10,407.12,64.87%,"1.86                                                                    (FY:082-083, Q:2)",247.31,155.18,2.96,0.25                                                                    (FY:081-082),15.26,0.0856,0.0708,0.0782
GRDBL,Development Bank Limited,"6,155,000.00","1,068.30",-1.07 %,2026/03/12 02:59:36,"1,668.40-944.00","1,107.52","1,126.47",-21.79%,"3.58                                                                    (FY:082-083, Q:2)",298.41,112.86,9.47,0.42                                                                    (FY:081-082),0,0,0,0.0000
NMFBS,Microfinance,"15,213,630.00","1,183.00",0 %,2026/03/12 02:54:14,"1,504.00-1,086.00","1,220.71","1,211.00",-8.40%,"48.21                                                                    (FY:082-083, Q:2)",24.54,245.37,4.82,0.75                                                                    (FY:081-082),0,0,0,0.0000
RSDC,Microfinance,"10,340,644.20",679.90,0.68 %,2026/03/12 02:59:52,880.00-578.70,642.25,646.82,-2.87%,"14.83                                                                    (FY:082-083, Q:2)",45.85,125.15,5.43,8.00                                                                    (FY:081-082),5.86,0.6641,0.0543,0.3592
KKHC,Hydro Power,"9,314,286.00",309.00,-0.96 %,2026/03/12 02:59:59,475.90-208.00,246.22,248.08,-15.80%,"-1.49                                                                    (FY:082-083, Q:2)",-207.38,89.12,3.47,,25.50,0.6230,0.0538,0.3384
DHPL,Hydro Power,"2,640,000.00",323.00,1.25 %,2026/03/12 02:59:52,427.20-265.00,297.82,300.01,-23.08%,"7.51                                                                    (FY:082-083, Q:2)",43.01,6.62,48.79,,8.45,0.6424,0.0227,0.3326
AKPL,Hydro Power,"38,959,421.00",295.00,3.15 %,2026/03/12 02:59:59,306.50-216.10,252.84,255.02,24.79%,"7.93                                                                    (FY:082-083, Q:2)",37.20,103.69,2.85,0.53                                                                    (FY:078-079),16.67,0.1272,0.0917,0.1095
FOWAD,Microfinance,"11,959,537.10","1,094.00",-0.08 %,2026/03/12 02:59:21,"1,324.40-1,012.40","1,087.96","1,085.84",-12.83%,"31.98                                                                    (FY:082-083, Q:2)",34.21,234.69,4.66,,0,0,0,0.0000
SPDL,Hydro Power,"13,308,487.50",436.80,1.7 %,2026/03/12 02:59:57,465.00-308.90,406.84,408.82,28.66%,"8.35                                                                    (FY:082-083, Q:2)",52.31,116.93,3.74,0.53                                                                    (FY:081-082),7.36,0.1807,0.0688,0.1247
UMHL,Hydro Power,"12,305,000.00",626.90,-0.74 %,2026/03/12 02:59:45,706.00-430.20,575.16,591.44,44.45%,"6.14                                                                    (FY:082-083, Q:2)",102.10,110.67,5.66,0.37                                                                    (FY:081-082),9.00,0.2868,0.0432,0.1650
SMATA,Microfinance,"6,605,041.40",818.10,0.5 %,2026/03/12 02:59:46,"1,382.00-734.10",817.98,800.05,-4.32%,"17.12                                                                    (FY:082-083, Q:2)",47.79,135.74,6.03,0.26                                                                    (FY:081-082),0.01,0,0.0499,0.0249
CHL,Hydro Power,"7,739,550.00",318.00,2.42 %,2026/03/12 02:59:55,551.00-223.40,265.14,271.78,-38.79%,"6.03                                                                    (FY:082-083, Q:2)",52.74,85.59,3.72,0.26                                                                    (FY:076-077),19.94,0.7112,0.0689,0.3901
HPPL,Hydro Power,"10,654,170.00",518.00,0.39 %,2026/03/12 03:00:00,711.00-411.10,475.41,475.87,-13.67%,"20.10                                                                    (FY:082-083, Q:2)",25.77,126.02,4.11,,8.96,0.6435,0.0797,0.3616
MSLB,Microfinance,"3,874,948.66","1,330.00",2.15 %,2026/03/12 02:59:43,"1,710.00-1,130.20","1,360.77","1,356.02",-1.27%,"36.14                                                                    (FY:082-083, Q:2)",36.80,196.86,6.76,0.25                                                                    (FY:081-082),0,0,0,0.0000
NHDL,Hydro Power,"4,231,340.00",694.00,0.59 %,2026/03/12 02:59:59,919.00-623.00,680.00,681.81,-21.49%,"21.15                                                                    (FY:082-083, Q:2)",32.81,121.76,5.70,0.47                                                                    (FY:081-082),2.06,0.7601,0.0595,0.4098
SMB,Microfinance,"1,340,755.80","1,922.20",-1.88 %,2026/03/12 02:59:16,"2,800.00-1,710.10","2,016.01","1,962.40",-29.51%,"47.37                                                                    (FY:082-083, Q:2)",40.58,181.29,10.60,0.50                                                                    (FY:081-082),0,0,0,0.0000
USLB,Microfinance,"2,468,657.36","1,471.00",-0.54 %,2026/03/12 02:59:42,"2,750.00-1,393.00","1,643.62","1,541.31",-16.18%,"17.04                                                                    (FY:082-083, Q:2)",86.33,159.37,9.23,,0,0,0,0.0000
RADHI,Hydro Power,"18,389,793.17",874.50,-0.06 %,2026/03/12 02:59:59,940.00-373.00,772.09,789.96,119.89%,"32.46                                                                    (FY:082-083, Q:2)",26.94,171.02,5.11,0.25                                                                    (FY:080-081),13.26,0.1155,0.0688,0.0922
WNLB,Microfinance,"843,405.50","1,600.00",0.31 %,2026/03/12 02:58:04,"3,562.00-1,242.10","1,802.56","1,717.88",-53.31%,"-20.94                                                                    (FY:082-083, Q:2)",-76.41,127.25,12.57,,0,0,0,0.0000
NADEP,Microfinance,"4,857,600.00",790.00,-1.37 %,2026/03/12 02:59:57,"1,046.00-696.00",780.96,787.76,-13.19%,"15.52                                                                    (FY:082-083, Q:2)",50.90,157.36,5.02,,1.16,0,0.0556,0.0278
PMHPL,Hydro Power,"11,000,000.00",386.00,-1.53 %,2026/03/12 02:59:58,468.00-272.00,333.66,336.21,25.32%,"15.26                                                                    (FY:082-083, Q:2)",25.29,84.95,4.54,,15.69,0.4184,0.0757,0.2470
KPCL,Hydro Power,"9,993,259.65",548.10,-2.47 %,2026/03/12 02:59:40,711.00-491.00,551.65,546.14,-0.35%,"15.02                                                                    (FY:082-083, Q:2)",36.49,113.65,4.82,0.37                                                                    (FY:081-082),-0.64,0.7405,0.0634,0.4020
AKJCL,Hydro Power,"20,000,000.00",368.10,-3.03 %,2026/03/12 02:59:59,409.00-172.90,234.92,251.33,75.29%,"4.63                                                                    (FY:082-083, Q:2)",79.50,92.82,3.97,,56.69,0.1732,0.0604,0.1168
JOSHI,Hydro Power,"6,128,100.00",315.10,1.65 %,2026/03/12 02:59:48,487.00-254.00,304.22,304.54,-19.82%,"-7.17                                                                    (FY:082-083, Q:2)",-43.95,67.88,4.64,,3.58,0.7378,0.0249,0.3814
ACLBSL,Microfinance,"3,671,434.09",985.20,0.42 %,2026/03/12 02:57:46,"1,240.00-900.00",978.34,968.43,-12.04%,"32.57                                                                    (FY:082-083, Q:2)",30.25,169.98,5.80,,0.70,0,0.0609,0.0305
UPPER,Hydro Power,"211,800,000.00",218.00,1.16 %,2026/03/12 02:59:58,225.00-166.00,181.59,181.94,5.47%,"9.41                                                                    (FY:082-083, Q:2)",23.17,50.04,4.36,,20.05,0.1186,0.0804,0.0995
SLBSL,Microfinance,"1,708,050.00","1,354.90",-0.52 %,2026/03/12 02:59:44,"2,582.00-1,234.50","1,341.31","1,319.54",-38.66%,"39.01                                                                    (FY:082-083, Q:2)",34.73,97.12,13.95,,0,0,0,0.0000
GHL,Hydro Power,"16,500,000.00",273.00,3.41 %,2026/03/12 02:59:58,318.00-197.10,221.74,224.47,-11.94%,"-2.06                                                                    (FY:082-083, Q:2)",-132.52,95.65,2.85,,23.12,0.3722,0.0641,0.2181
ALBSL,Microfinance,"8,026,856.80","1,162.00",1.75 %,2026/03/12 02:59:59,"1,250.00-771.00","1,094.93","1,130.05",35.43%,"31.29                                                                    (FY:082-083, Q:2)",37.14,158.08,7.35,0.50                                                                    (FY:081-082),0,0,0,0.0000
SHIVM,Manufacturing And Processing,"55,932,287.13",659.00,0.61 %,2026/03/12 02:59:54,709.00-495.00,601.72,607.25,21.36%,"12.77                                                                    (FY:082-083, Q:2)",51.61,180.38,3.65,10.00                                                                    (FY:081-082),9.52,0.2336,0.0703,0.1520
UPCL,Hydro Power,"24,851,236.18",403.00,1.74 %,2026/03/12 02:59:58,489.00-277.50,372.00,372.04,30.84%,"6.74                                                                    (FY:082-083, Q:2)",59.79,106.07,3.80,0.47                                                                    (FY:081-082),8.33,0.4066,0.0660,0.2363
MHNL,Hydro Power,"12,500,000.00",287.10,2.35 %,2026/03/12 02:59:54,307.00-226.00,254.22,257.63,2.98%,"1.14                                                                    (FY:082-083, Q:2)",251.84,31.16,9.21,,12.93,0.2457,0.0249,0.1353
PPCL,Hydro Power,"9,625,000.00",424.90,3.13 %,2026/03/12 02:59:54,426.50-284.10,344.30,355.44,33.78%,"18.80                                                                    (FY:082-083, Q:2)",22.60,99.20,4.28,,23.41,0.0112,0.0821,0.0467
GMFBS,Microfinance,"1,515,545.32","1,455.50",0 %,2026/03/12 02:56:50,"1,871.00-1,385.10","1,517.07","1,501.95",-14.40%,"-4.71                                                                    (FY:082-083, Q:2)",-309.02,185.26,7.86,1.00                                                                    (FY:077-078),0,0,0,0.0000
HURJA,Hydro Power,"19,800,000.00",302.00,5.45 %,2026/03/12 02:59:45,310.00-204.60,233.59,238.34,20.99%,"10.56                                                                    (FY:082-083, Q:2)",28.60,95.84,3.15,,29.29,0.0759,0.0915,0.0837
GLBSL,Microfinance,"1,323,580.54","1,975.00",0.25 %,2026/03/12 02:57:57,"3,232.00-1,838.60","2,009.79","1,975.86",-31.69%,"40.22                                                                    (FY:082-083, Q:2)",49.10,159.33,12.40,0.75                                                                    (FY:081-082),0,0,0,0.0000
SMFBS,Microfinance,"1,534,455.09","1,660.00",-1.37 %,2026/03/12 02:59:59,"2,026.00-1,490.00","1,676.65","1,684.28",-13.54%,"38.11                                                                    (FY:082-083, Q:2)",43.56,206.18,8.05,0.50                                                                    (FY:081-082),0,0,0,0.0000
UNHPL,Hydro Power,"7,500,000.00",490.80,-0.2 %,2026/03/12 02:59:58,554.70-290.00,493.13,491.02,48.73%,"7.03                                                                    (FY:082-083, Q:2)",69.82,104.17,4.71,,-0.47,0.2414,0.0539,0.1477
ILBS,Microfinance,"4,974,159.42",967.00,0.32 %,2026/03/12 02:59:46,"1,311.00-795.20","1,054.26","1,014.52",-2.81%,"24.07                                                                    (FY:082-083, Q:2)",40.17,136.88,7.06,1.46                                                                    (FY:077-078),0,0,0.0482,0.0241
RHPL,Hydro Power,"68,421,000.00",307.90,2.29 %,2026/03/12 02:59:56,457.00-252.30,277.41,278.90,-23.79%,"-31.61                                                                    (FY:082-083, Q:2)",-9.74,72.34,4.26,,10.99,0.7284,-0.0352,0.3466
SJCL,Hydro Power,"36,500,000.00",315.00,2.47 %,2026/03/12 02:59:54,353.20-267.00,290.59,293.48,-7.76%,"5.95                                                                    (FY:082-083, Q:2)",52.94,84.49,3.73,,8.40,0.4432,0.0687,0.2560
SAPDBL,Development Bank Limited,"8,343,384.32",832.00,-0.36 %,2026/03/12 02:59:59,"1,284.00-686.00",829.61,836.69,-30.95%,"6.43                                                                    (FY:082-083, Q:2)",129.39,75.96,10.95,5.04                                                                    (FY:074-075),0.29,0,0.0244,0.0122
HDHPC,Hydro Power,"28,000,000.00",240.00,7.14 %,2026/03/12 02:59:58,243.50-162.00,185.50,188.43,17.13%,"-4.32                                                                    (FY:082-083, Q:2)",-55.56,75.21,3.19,,29.38,0.0429,0.0483,0.0456
NRIC,Others,"134,221,870.78","1,251.00",-1.73 %,2026/03/12 02:59:56,"1,842.00-1,146.00","1,305.52","1,284.40",-4.34%,"7.71                                                                    (FY:081-082, Q:4)",162.26,152.94,8.18,,0,0,0,0.0000
NICLBSL,Microfinance,"17,394,400.00",592.00,1.46 %,2026/03/12 02:59:57,764.00-535.00,562.42,564.43,-12.02%,"2.16                                                                    (FY:082-083, Q:2)",274.07,122.30,4.84,,5.26,0.7511,0.0442,0.3977
SMPDA,Microfinance,"7,008,583.45",890.00,0.45 %,2026/03/12 02:58:51,"1,155.00-840.00",895.84,891.18,-5.22%,"24.55                                                                    (FY:082-083, Q:2)",36.25,158.15,5.63,,-0.65,0,0.0576,0.0288
NRN,Investment,"17,981,212.00","1,522.00",-2.12 %,2026/03/12 02:59:54,"2,444.00-1,327.00","1,656.97","1,547.76",4.39%,"-0.59                                                                    (FY:082-083, Q:2)","-2,579.66",174.49,8.72,2.11                                                                    (FY:081-082),0,0,0,0.0000
LEC,Hydro Power,"22,500,000.00",251.50,6.25 %,2026/03/12 02:59:57,263.00-180.00,204.95,206.82,14.84%,"-0.78                                                                    (FY:082-083, Q:2)",-322.44,69.32,3.63,,22.71,0.1386,0.0526,0.0956
SSHL,Hydro Power,"29,528,000.00",229.80,6.88 %,2026/03/12 02:59:58,313.80-151.00,174.03,174.29,-4.25%,"-1.56                                                                    (FY:082-083, Q:2)",-147.31,56.69,4.05,,32.05,0.5160,0.0440,0.2800
SGIC,Non-Life Insurance,"21,500,000.00",497.00,0.61 %,2026/03/12 02:59:24,687.00-439.00,477.80,477.46,-27.13%,"-8.92                                                                    (FY:082-083, Q:2)",-55.72,145.61,3.41,,4.02,0.7661,0.0443,0.4052
MEN,Hydro Power,"31,232,588.50",624.70,0.61 %,2026/03/12 02:59:58,683.40-535.00,600.57,593.98,4.12%,"34.67                                                                    (FY:082-083, Q:2)",18.02,142.68,4.38,1.05                                                                    (FY:081-082),4.02,0.3956,0.0901,0.2429
UMRH,Hydro Power,"4,838,652.00",576.00,0 %,2026/03/12 02:59:54,675.00-526.00,561.20,560.21,-12.73%,"19.94                                                                    (FY:082-083, Q:2)",28.89,115.45,4.99,0.26                                                                    (FY:081-082),2.64,0.6644,0.0678,0.3661
PMLI,Life Insurance,"53,077,939.20",511.80,0.35 %,2026/03/12 02:59:08,608.00-445.00,493.40,499.41,-14.69%,"5.02                                                                    (FY:082-083, Q:2)",101.95,113.02,4.53,4.42                                                                    (FY:081-082),3.73,0.5902,0.0520,0.3211
CGH,Hotels And Tourism,"16,107,956.00",870.00,0.33 %,2026/03/12 02:59:55,"1,150.00-800.20",869.32,866.47,-3.01%,"-5.84                                                                    (FY:082-083, Q:2)",-148.97,102.87,8.46,0.26                                                                    (FY:081-082),0.08,0,0.0183,0.0092
NIFRA,Investment,"216,000,000.00",285.10,2 %,2026/03/12 02:59:57,328.10-249.90,267.90,267.93,3.67%,"3.80                                                                    (FY:082-083, Q:2)",75.03,114.75,2.48,6.32                                                                    (FY:081-082),6.42,0.5499,0.0913,0.3206
GLH,Hydro Power,"18,000,000.00",293.80,3.67 %,2026/03/12 02:59:58,306.30-227.40,258.66,258.88,16.59%,"2.09                                                                    (FY:082-083, Q:2)",140.57,110.77,2.65,,13.59,0.1584,0.0812,0.1198
MLBSL,Microfinance,"2,175,625.00","1,974.00",-0.2 %,2026/03/12 02:59:29,"2,435.50-1,808.40","1,978.32","1,950.08",-15.28%,"33.06                                                                    (FY:082-083, Q:2)",59.71,258.10,7.65,,0,0,0,0.0000
SHEL,Hydro Power,"30,450,000.00",337.50,2.58 %,2026/03/12 02:59:59,350.00-241.10,289.01,290.29,28.08%,"12.93                                                                    (FY:082-083, Q:2)",26.10,114.57,2.95,,16.78,0.1148,0.0984,0.1066
RURU,Hydro Power,"6,240,544.20",699.00,3.56 %,2026/03/12 02:59:10,853.00-640.00,706.30,699.79,-10.10%,"16.90                                                                    (FY:082-083, Q:2)",41.36,141.30,4.95,5.79                                                                    (FY:081-082),-1.03,0.7230,0.0597,0.3913
CHDC,Investment,"10,342,370.61","2,560.00",-0.16 %,2026/03/12 02:59:58,"2,997.90-1,990.00","2,334.63","2,357.00",11.79%,"61.03                                                                    (FY:082-083, Q:2)",41.95,240.87,10.63,0.58                                                                    (FY:078-079),0,0,0,0.0000
JBLB,Microfinance,"17,512,355.70","1,370.00",0.33 %,2026/03/12 02:59:23,"1,644.00-1,270.70","1,402.51","1,400.62",-1.30%,"44.43                                                                    (FY:082-083, Q:2)",30.84,255.40,5.36,0.74                                                                    (FY:081-082),0,0,0,0.0000
SRLI,Life Insurance,"50,149,240.56",408.00,0 %,2026/03/12 02:59:58,451.10-363.90,394.22,397.65,-5.05%,"11.01                                                                    (FY:082-083, Q:2)",37.06,108.26,3.77,10.18                                                                    (FY:081-082),3.50,0.4943,0.0746,0.2844
MKJC,Hydro Power,"3,763,198.00",547.90,1.09 %,2026/03/12 02:59:59,635.00-475.50,542.83,530.56,-0.02%,"9.40                                                                    (FY:082-083, Q:2)",58.29,106.21,5.16,0.12                                                                    (FY:079-080),0.93,0.5461,0.0525,0.2993
MLBS,Microfinance,"1,093,750.00","1,465.00",-1.68 %,2026/03/12 02:56:08,"1,960.00-1,395.00","1,491.24","1,475.16",-22.81%,"16.22                                                                    (FY:082-083, Q:2)",90.32,137.81,10.63,,0,0,0,0.0000
SAHAS,Hydro Power,"45,738,000.00",616.00,0 %,2026/03/12 02:59:55,705.00-483.30,588.93,570.17,20.78%,"39.57                                                                    (FY:082-083, Q:2)",15.57,170.72,3.61,1.11                                                                    (FY:081-082),4.60,0.4014,0.1068,0.2541
TPC,Hydro Power,"8,000,000.00",425.00,1.72 %,2026/03/12 02:59:59,616.00-270.10,354.22,368.90,-26.60%,"16.54                                                                    (FY:082-083, Q:2)",25.70,100.85,4.21,,19.98,0.5522,0.0786,0.3154
SPC,Hydro Power,"5,000,000.00",513.80,0.55 %,2026/03/12 02:59:55,591.00-441.00,498.38,507.85,-10.17%,"-1.98                                                                    (FY:082-083, Q:2)",-259.49,105.93,4.85,,3.09,0.5147,0.0382,0.2765
NYADI,Hydro Power,"15,000,000.00",419.00,0 %,2026/03/12 02:59:57,663.90-354.00,397.18,397.22,-27.76%,"15.46                                                                    (FY:082-083, Q:2)",27.10,73.84,5.67,,5.49,0.7903,0.0648,0.4275
MBJC,Hydro Power,"60,000,000.00",311.00,1.63 %,2026/03/12 02:59:58,371.00-270.00,286.91,287.39,-7.14%,"2.04                                                                    (FY:082-083, Q:2)",152.45,94.44,3.29,,8.40,0.5941,0.0660,0.3300
BNHC,Hydro Power,"8,000,000.00",370.00,0.54 %,2026/03/12 02:59:58,613.80-313.10,448.34,449.43,-31.01%,"5.12                                                                    (FY:082-083, Q:2)",72.27,91.79,4.03,,-17.47,0.8108,0.0607,0.4357
ENL,Investment,"5,556,000.00",950.00,-1.55 %,2026/03/12 02:59:11,"1,289.80-866.00",922.14,916.71,-18.59%,"6.15                                                                    (FY:082-083, Q:2)",154.47,110.46,8.60,5.26                                                                    (FY:081-082),3.02,0,0.0284,0.0142
NESDO,Microfinance,"2,913,375.00","1,597.00",-0.06 %,2026/03/12 02:59:58,"1,975.00-1,380.10","1,516.90","1,520.58",-19.34%,"63.99                                                                    (FY:082-083, Q:2)",24.96,269.94,5.92,,0,0,0,0.0000
GVL,Hydro Power,"34,375,000.00",514.90,0.96 %,2026/03/12 02:59:53,662.00-424.00,511.15,512.42,4.44%,"27.16                                                                    (FY:082-083, Q:2)",18.96,124.97,4.12,0.53                                                                    (FY:080-081),0.73,0.6181,0.0907,0.3544
BHL,Hydro Power,"36,559,400.00",237.30,6.41 %,2026/03/12 02:59:59,345.00-164.00,187.53,189.23,-30.92%,"12.48                                                                    (FY:082-083, Q:2)",19.01,80.85,2.94,,26.54,0.5950,0.1101,0.3525
ULBSL,Microfinance,"1,061,482.00","3,270.00",-0.55 %,2026/03/12 02:59:44,"4,325.00-2,931.00","3,538.09","3,471.77",-13.26%,"27.06                                                                    (FY:082-083, Q:2)",120.84,275.33,11.88,,0,0,0,0.0000
CYCL,Microfinance,"2,664,243.90","1,608.00",0.5 %,2026/03/12 02:58:32,"2,040.00-1,462.00","1,556.01","1,548.00",-2.79%,"27.99                                                                    (FY:082-083, Q:2)",57.45,268.72,5.98,0.67                                                                    (FY:081-082),0,0,0,0.0000
RFPL,Hydro Power,"14,000,000.00",412.80,0.68 %,2026/03/12 02:59:59,785.00-306.00,373.19,385.57,-46.39%,"4.62                                                                    (FY:082-083, Q:2)",89.35,119.39,3.46,,10.61,0.7770,0.0668,0.4219
DORDI,Hydro Power,"21,085,208.00",311.00,6.14 %,2026/03/12 02:59:59,450.00-213.10,262.44,271.54,-19.85%,"0.69                                                                    (FY:082-083, Q:2)",450.72,105.22,2.96,,18.50,0.5867,0.0693,0.3280
BHDC,Hydro Power,"11,862,900.00",496.00,0.2 %,2026/03/12 02:59:58,706.00-426.00,501.22,482.88,-20.89%,"18.89                                                                    (FY:082-083, Q:2)",26.26,121.91,4.07,0.26                                                                    (FY:081-082),-1.04,0.7500,0.0796,0.4148
HHL,Hydro Power,"10,950,000.00",371.00,4.07 %,2026/03/12 02:59:49,551.00-310.70,336.46,336.39,-31.04%,"10.78                                                                    (FY:082-083, Q:2)",34.42,83.35,4.45,,10.27,0.7491,0.0682,0.4087
UHEWA,Hydro Power,"5,750,000.00",582.30,0.12 %,2026/03/12 02:59:45,930.00-508.50,574.54,577.48,-29.59%,"25.92                                                                    (FY:082-083, Q:2)",22.47,127.59,4.56,0.79                                                                    (FY:081-082),1.35,0.8249,0.0795,0.4522
SGHC,Hydro Power,"15,930,000.00",414.10,0.02 %,2026/03/12 02:59:50,564.00-296.00,382.37,403.25,-19.62%,"20.00                                                                    (FY:082-083, Q:2)",20.71,82.53,5.02,,8.30,0.5593,0.0785,0.3189
MHL,Hydro Power,"6,467,670.85",548.50,2.35 %,2026/03/12 02:59:57,798.00-445.00,495.82,503.07,-28.86%,"11.14                                                                    (FY:082-083, Q:2)",49.24,112.66,4.87,,10.62,0.7068,0.0573,0.3821
USHEC,Hydro Power,"13,500,000.00",498.00,2.01 %,2026/03/12 02:59:58,680.00-410.00,470.83,473.55,-22.15%,"28.69                                                                    (FY:082-083, Q:2)",17.36,118.12,4.22,,5.77,0.6741,0.0935,0.3838
RHGCL,Hydro Power,"12,255,876.00",305.00,3.74 %,2026/03/12 02:59:57,640.00-217.20,262.41,267.55,-47.95%,"0.02                                                                    (FY:082-083, Q:2)","15,250.00",95.75,3.19,,16.23,0.7923,0,0.3962
AVYAN,Microfinance,"2,500,000.00","1,035.00",0.58 %,2026/03/12 02:59:58,"1,225.00-906.00",974.31,967.05,-5.82%,"61.89                                                                    (FY:082-083, Q:2)",16.72,149.39,6.93,,0,0,0,0.0000
SPHL,Hydro Power,"3,000,000.00",571.90,0.51 %,2026/03/12 02:59:44,826.00-477.10,543.42,553.45,-27.61%,"10.58                                                                    (FY:082-083, Q:2)",54.05,96.13,5.95,,5.24,0.7283,0.0484,0.3883
PPL,Hydro Power,"9,489,000.00",405.90,0.47 %,2026/03/12 02:59:59,569.20-263.20,341.67,352.04,-24.33%,"-0.47                                                                    (FY:082-083, Q:2)",-863.62,104.65,3.88,,18.80,0.5337,0.0506,0.2921
DLBS,Microfinance,"1,331,000.00","1,362.60",-0.25 %,2026/03/12 02:58:41,"1,684.00-1,240.00","1,345.57","1,344.83",-16.76%,"18.38                                                                    (FY:082-083, Q:2)",74.13,179.13,7.61,,0,0,0,0.0000
SIKLES,Hydro Power,"9,775,000.00",692.90,5.96 %,2026/03/12 02:59:57,"1,223.00-540.00",625.27,611.66,-42.23%,"21.68                                                                    (FY:082-083, Q:2)",31.96,110.94,6.25,0.79                                                                    (FY:081-082),10.82,0,0.0570,0.0285
EHPL,Hydro Power,"6,200,000.00",431.50,0.58 %,2026/03/12 02:59:51,815.00-385.00,434.34,421.19,-46.13%,"9.91                                                                    (FY:082-083, Q:2)",43.54,77.86,5.54,,-0.65,0.8919,0.0545,0.4732
SHLB,Microfinance,"1,093,750.00","1,645.00",0.18 %,2026/03/12 02:59:58,"2,349.00-1,535.10","1,706.87","1,655.25",-28.17%,"-36.73                                                                    (FY:082-083, Q:2)",-44.79,240.02,6.85,,0,0,0,0.0000
PHCL,Hydro Power,"32,000,000.00",320.00,1.27 %,2026/03/12 02:59:59,676.00-249.70,309.92,287.02,-53.52%,"0.16                                                                    (FY:082-083, Q:2)","2,000.00",100.19,3.19,,3.25,0.8351,0,0.4175
BHPL,Hydro Power,"2,500,000.00",581.00,-0.07 %,2026/03/12 02:59:59,"1,308.40-503.10",614.73,587.99,-45.95%,"1.86                                                                    (FY:082-083, Q:2)",312.37,51.12,11.37,,-5.49,0,0.0202,0.0101
UNLB,Microfinance,"1,485,750.00","1,918.00",-0.98 %,2026/03/12 02:59:59,"2,480.00-1,810.00","1,943.06","1,916.19",-20.08%,"62.31                                                                    (FY:082-083, Q:2)",30.78,244.51,7.84,1.00                                                                    (FY:079-080),0,0,0,0.0000
SMHL,Hydro Power,"23,152,500.00",527.00,2.57 %,2026/03/12 02:59:59,"1,230.00-443.00",664.20,605.41,-48.23%,"17.79                                                                    (FY:082-083, Q:2)",29.62,115.01,4.58,0.26                                                                    (FY:081-082),-20.66,0,0.0707,0.0353
SPL,Hydro Power,"2,000,000.00",746.10,-0.39 %,2026/03/12 02:59:28,"1,035.00-696.30",873.70,849.96,-18.55%,"12.42                                                                    (FY:082-083, Q:2)",60.07,101.20,7.37,,-14.60,0,0.0405,0.0203
SMH,Hydro Power,"6,420,000.00",639.00,-1.24 %,2026/03/12 02:59:58,"1,065.00-603.00",762.79,746.20,-36.67%,"21.46                                                                    (FY:082-083, Q:2)",29.78,119.91,5.33,1.11                                                                    (FY:081-082),-16.23,0,0.0644,0.0322
